"Speaker";"Title";"Repository";"Date";"Kind";"Passcode"
"Schlutzenberg, Farmer";"Remarks on rank-into-rank embeddings";"https://www.miguelmath.com/vid/zoom_muensterJul7.mp4";"July 7, 2020";"seminar";
"Schlutzenberg, Farmer";"Remarks on rank-into-rank embeddings";"https://www.miguelmath.com/vid/zoom_muensterJun30.mp4";"June 30, 2020";"seminar";
"Schlutzenberg, Farmer";"Remarks on rank-into-rank embeddings";"https://www.miguelmath.com/vid/zoom_muensterJun23.mp4";"June 23, 2020";"seminar";
"Schlutzenberg, Farmer";"Remarks on rank-into-rank embeddings";"https://www.miguelmath.com/vid/zoom_muensterJun16.mp4";"June 16, 2020";"seminar";
"Schlutzenberg, Farmer";"Remarks on rank-into-rank embeddings";"https://www.miguelmath.com/vid/zoom_muensterJun9.mp4";"June 9, 200";"seminar";
"Schlutzenberg, Farmer";"$j:V_\delta\to V_\delta$ in $L(V_\delta)$";"https://www.miguelmath.com/vid/Muenster3farmer.mp4";"May 12, 2020";"seminar";
"Shafer, Paul";"An inside-outside Ramsey theorem in the Weihrauch degrees";"https://youtu.be/r2JqCi8A6kg";"February 19, 2021";"seminar";
"Shelah, Saharon";"Struggling with the Size of Infinity";"https:https://www.miguelmath.com/video.ethz.ch/speakers/bernays/2020.html";"August 31 and September 1, 2020";"Paul Bernays Lectures 2020";
"Shelah, Saharon";"How Large is the Continuum?";"https:https://www.miguelmath.com/video.ethz.ch/speakers/bernays/2020.html";"August 31 and September 1, 2020";"Paul Bernays Lectures 2020";
"Shelah, Saharon";"Cardinal Invariants of the Continuum: Are they all Independent?";"https:https://www.miguelmath.com/video.ethz.ch/speakers/bernays/2020.html";"August 31 and September 1, 2020";"Paul Bernays Lectures 2020";
"Sinapova, Dima";"Iteration, reflection, and singular cardinals";"https://youtu.be/YAch0Mg1cFA";"January 20, 2021";"seminar";
"Switzer, Corey Bacal";"Some Set Theory of Kaufmann Models ";"https://youtu.be/B98xFmwtJSs";"June 17, 2020";"seminar";
"Terry, Caroline";"Speeds of hereditary properties and mutual algebricity";"https://zoom.us/rec/play/2RqU7ZQNdqswAM60GymogTTUJSrpTuirLHAUT0v247ixNdTzxEopsgeZ3DJhjylcjnPPy5pZEmgty3Io.LnteWlFMZ1NAkDiR?continueMode=true&_x_zm_rtaid=xcPdbIjdS9CEim60yrGpwg.1612459428053.e6974316fe287686196a1c29e3cf37ff&_x_zm_rhtaid=264";"February 3, 2021";"seminar";
"Towsner, Henry";"Higher-arity VC dimension and hypergraph regularity";"https://youtu.be/a3VE0_2g6Jo";"April 9, 2021";"seminar";
"Turner, Christopher";"Forcing Axioms and Name Principles";"https://youtu.be/tnDlQzT_mNI";"June 1, 2021";"seminar"; 
"Valverde, Iván Ongay";"Splitting localization and prediction numbers";"https://www.miguelmath.com/vid/sts-ivan.mp4";"April 3, 2020";"seminar";
